;config_343_avg;config_343_std;config_343_run_0;config_343_run_1;config_343_run_2;config_343_run_3;config_343_run_4
Standard_Acc;33,2700;40,7473;0,0000;0,0000;0,0000;83,1100;83,2400
RMSCE;0,0071;0,0090;0,0000;0,0000;0,0000;0,0212;0,0145
gaussian_noise;21,3800;26,1852;0,0000;0,0000;0,0000;53,6000;53,3000
shot_noise;23,4600;28,7355;0,0000;0,0000;0,0000;59,3000;58,0000
impulse_noise;25,9800;31,8201;0,0000;0,0000;0,0000;65,4000;64,5000
defocus_blur;31,1000;38,0912;0,0000;0,0000;0,0000;77,2000;78,3000
glass_blur;24,3000;29,8121;0,0000;0,0000;0,0000;63,5000;58,0000
motion_blur;29,0200;35,5574;0,0000;0,0000;0,0000;74,2000;70,9000
zoom_blur;29,9800;36,7264;0,0000;0,0000;0,0000;73,7000;76,2000
snow;27,8800;34,1468;0,0000;-0,0000;0,0000;70,1000;69,3000
frost;30,8600;37,8053;0,0000;0,0000;0,0000;78,5000;75,8000
fog;30,4200;37,2578;0,0000;0,0000;0,0000;76,5000;75,6000
brightness;33,0800;40,5146;0,0000;0,0000;0,0000;82,8000;82,6000
contrast;31,6200;38,7271;0,0000;0,0000;0,0000;79,4000;78,7000
elastic_transform;27,9600;34,2588;0,0000;0,0000;0,0000;71,5000;68,3000
pixelate;24,6000;30,1311;0,0000;0,0000;0,0000;62,1000;60,9000
jpeg_compression;23,3200;28,5628;0,0000;0,0000;0,0000;58,8000;57,8000
speckle_noise;23,7200;29,0527;0,0000;0,0000;0,0000;59,8000;58,8000
gaussian_blur;28,2400;34,5966;0,0000;0,0000;0,0000;71,9000;69,3000
spatter;30,2200;37,0216;0,0000;0,0000;0,0000;76,9000;74,2000
saturate;30,6400;37,5267;0,0000;0,0000;0,0000;76,3000;76,9000
blue_noise;27,0400;33,1181;0,0000;0,0000;0,0000;67,2000;68,0000
brownish_noise;16,7400;20,5028;0,0000;0,0000;0,0000;42,1000;41,6000
checkerboard_cutout;27,5600;33,7542;0,0000;0,0000;0,0000;69,1000;68,7000
circular_motion_blur;29,8200;36,5226;0,0000;0,0000;0,0000;74,2000;74,9000
inverse_sparkles;1440324402036790448677614477797398626352479612670350913555357004453949212730654872374851948813004299262415351430339034788624835595908143031038838400078093835405603970050268294667621405405536606607641251848277270991262983749894144,0000;inf;7201622010183952580036770088082897595185750567679989162998532402952873071543252158273117619078194111586735078917356052470034184774946648788437856012153916417208165171971715870472421979248137317304686763838040260319083029839478784,0000;0,0000;0,0000;47,0000;42,7000
lines;22,0000;27,0111;0,0000;0,0000;0,0000;58,0000;52,0000
pinch_and_twirl;30,1600;36,9461;0,0000;0,0000;0,0000;74,2000;76,6000
ripple;25,8400;31,6551;0,0000;0,0000;0,0000;65,7000;63,5000
sparkles;27,4000;33,5681;0,0000;0,0000;0,0000;69,8000;67,2000
transverse_chromatic_abberation;19,0200;23,2995;0,0000;0,0000;0,0000;48,3000;46,8000
Acc_C-all-19;27,7779;34,0232;0,0000;0,0000;0,0000;70,0789;68,8105
Acc_C-original-15;27,6640;33,8836;0,0000;0,0000;0,0000;69,7733;68,5467
Acc_C-bar-10;24,3520;29,8281;0,0000;0,0000;0,0000;61,5600;60,2000
Acc_all-ex-pixelwise-noise-24;27,0717;33,1591;0,0000;0,0000;0,0000;68,4083;66,9500
RMSCE_C;0,0357;0,0438;0,0000;0,0000;0,0000;0,0888;0,0898
Combined_Noise;931301824108247179379582622159077376,0000;1862603648216494653907070423670980608,0000;4656509120541235749323960521118973952,0000;0,0000;0,0000;69,4300;67,3600
