;config_297_avg
Standard_Acc;64,8900
RMSCE;0,0426
gaussian_noise;34,3360
shot_noise;37,2840
impulse_noise;33,6560
defocus_blur;42,0640
glass_blur;36,8640
motion_blur;48,6060
zoom_blur;43,2560
snow;46,4000
frost;47,3800
fog;48,0780
brightness;52,1020
contrast;35,6760
elastic_transform;48,9960
pixelate;53,1180
jpeg_compression;52,3080
speckle_noise;31,0280
gaussian_blur;44,0580
spatter;44,1760
saturate;47,6180
blue_noise_sample;45,4500
brownish_noise;49,6280
caustic_refraction;35,8720
checkerboard_cutout;40,5660
cocentric_sine_waves;35,5860
inverse_sparkles;26,2780
perlin_noise;56,0080
plasma_noise;28,3940
single_frequency_greyscale;36,1660
sparkles;57,5560
Acc_C-all-19;43,5265
Acc_C-original-15;44,0083
Acc_C-bar-10;41,1504
Acc_all-ex-pixelwise-noise-24;44,0314
RMSCE_C;0,1182
Combined_Noise;58,5100
